,type,title,year,month,id,genre
297,movie,The Burned Hand,2024.0,1.0,tt30801826,Drama
298,movie,Into the Public Domain,2024.0,11.0,tt30803405,Drama
299,movie,The Reflected Self,2024.0,6.0,tt30803901,Drama
300,movie,Shambhala,2024.0,11.0,tt30804400,Drama
301,movie,Shahid,2024.0,8.0,tt30808146,Drama
302,movie,Hakki,2024.0,4.0,tt30810790,Drama
303,movie,Sex,2024.0,3.0,tt30810768,Drama
304,movie,We Were Dangerous,2024.0,3.0,tt30813817,Drama
305,movie,Ground,2024.0,2.0,tt30816925,Drama
306,movie,A Starlet's Demise,2024.0,3.0,tt30818709,Drama
307,movie,Identical,2024.0,1.0,tt30825700,Drama
308,movie,Roleplay,2024.0,3.0,tt30825927,Drama
309,movie,Prawda24,2024.0,1.0,tt30826112,Drama
310,movie,Sevappi,2024.0,1.0,tt30828158,Drama
311,movie,Sihinayaki Adare,2024.0,1.0,tt30828655,Drama
312,movie,Pegasus 2,2024.0,2.0,tt30829309,Drama
313,movie,The Little Spinster,2024.0,1.0,tt30829541,Drama
314,movie,Norouz,2024.0,3.0,tt30829777,Drama
315,movie,Naboodanat,2024.0,2.0,tt30829833,Drama
316,movie,Blue Lights,2024.0,2.0,tt30831095,Drama
317,movie,Kagojer Bou,2024.0,1.0,tt30832543,Drama
318,movie,Bolehkah Sekali Saja Kumenangis,2024.0,10.0,tt30833434,Drama
319,movie,Zhina Til Now,2024.0,2.0,tt30834637,Drama
320,movie,The Mistress,2024.0,1.0,tt30834708,Drama
321,movie,Family,2024.0,3.0,tt30834999,Drama
322,movie,Songs from the Hole,2024.0,3.0,tt30835190,Drama
323,movie,Kaagada,2024.0,7.0,tt30835251,Drama
324,movie,Eclipsing,2024.0,3.0,tt30835792,Drama
325,movie,Click,2024.0,2.0,tt30836377,Drama
326,movie,Ikaw pa rin ang pipiliin ko,2024.0,2.0,tt30840611,Drama
327,movie,The Snatcher,2024.0,3.0,tt30841078,Drama
328,movie,Mr. November,2024.0,1.0,tt30842544,Drama
329,movie,Xiao zi,2024.0,2.0,tt30842823,Drama
330,movie,Bijoyar Pore,2024.0,1.0,tt30843854,Drama
331,movie,RAM: Rapid Action Mission,2024.0,1.0,tt30850798,Drama
332,movie,Visiting Hours,2024.0,8.0,tt30851085,Drama
333,movie,Foram os Sussurros que Me Mataram,2024.0,1.0,tt30851950,Drama
